SA22021_V1,SA22021__2,DHB,Total_d1_count,Total_d2_count,Total pop count,Total_d1_uptake,Total_d2_uptake,Maori_d1_count,Maori_d2_count,Maori pop count,Maori_d1_uptake,Maori_d2_uptake,Pacific_d1_count,Pacific_d2_count,Pacific pop count,Pacific_d1_uptake,Pacific_d2_uptake,Distance to nearest vaccination service metres,Time to nearest vaccination services minutes,Number of clinics within SA2,Clinic to population ratio per 1000,Spatial access score,Access Quintile,Median_Age
187700,Marotiri,Lakes,1271,853,1918,663,445,303,195,594,510,328,16,9,31,516,290,36436.0896,28.3566722,0,0,8.25E-05,5,36.7
187800,Ohakuri,Lakes,1075,675,1550,694,435,122,70,258,473,271,masked,5 or less,masked,611,278,15201.65372,13.80930204,0,0,0.000141243,5,40.1
187900,Lake Taupo Bays,Lakes,967,735,1335,724,551,254,166,448,567,371,masked,5 or less,masked,>950,455,18667.52026,20.00448889,0,0,5.03E-05,5,53
188000,Mapara,Lakes,1492,1080,1859,803,581,74,44,124,597,355,5 or less,5 or less,masked,750,500,21080.74859,18.34076252,0,0,9.68E-05,5,48
188200,Wairakei-Broadlands,Lakes,622,380,933,667,407,144,85,266,541,320,masked,5 or less,masked,667,200,14864.83197,14.5397456,0,0,0.000131106,5,33.3
313400,Loburn,Canterbury,1447,873,1923,752,454,45,30,84,536,357,14,6,23,609,261,11784.33792,11.88776861,0,0,0.000127436,5,45.9
313500,Eyrewell,Canterbury,1161,681,1575,737,432,69,42,100,690,420,13,10,23,565,435,15435.75149,12.86891404,0,0,0.000131018,5,38.9
339000,Rangitata,South Canterbury,1339,966,1656,809,583,34,22,57,596,386,masked,5 or less,masked,600,200,1883.258993,2.865760433,0,0,0.000283561,1,51
339100,Waitohi (Timaru District),South Canterbury,1106,769,1459,758,527,69,52,107,645,486,5 or less,5 or less,masked,455,182,3764.442071,4.620227993,0,0,0.000297841,1,39.9
312800,Balcairn,Canterbury,1487,899,2044,727,440,57,30,98,582,306,20,17,32,625,531,5530.319216,5.10091033,0,0,0.000258452,1,47.9
314100,Ashgrove,Canterbury,959,581,1243,772,467,58,34,99,586,343,masked,5 or less,masked,750,312,988.365881,1.975968362,0,0,0.00016817,4,36.6
329800,Bexley,Canterbury,1477,894,2142,690,417,245,139,487,503,285,150,100,217,691,461,1240.409742,2.479844994,1,0.466853,0.000183187,3,34.1
210300,Raceway Park,Hawke's Bay,1372,985,1631,841,604,210,131,349,602,375,masked,masked,80,>950,>950,1234.016315,2.470330744,1,0.609756,0.000175696,4,37.9
223300,Upper Whanganui,Whanganui,660,474,941,701,504,209,156,339,617,460,5 or less,5 or less,masked,429,286,22454.89082,20.70360488,0,0,9.20E-05,5,42.4
224500,Springvale East,Whanganui,1144,951,1343,852,708,107,87,160,669,544,9,6,15,600,400,2481.540238,4.962942736,0,0,0.000124217,5,45.2
352000,North East Valley Knox,Southern,2050,1462,2216,925,660,167,115,206,811,558,79,51,86,919,593,387.8323635,0.775707794,2,0.899281,0.000317968,1,23.3
359700,Waimumu-Kaiwera,Southern,803,591,1110,723,532,18,13,39,462,333,masked,5 or less,masked,700,500,3219.837318,2.652447278,0,0,0.000348988,1,41.1
102600,Puketotara,Northland,1194,778,1552,769,501,143,78,217,659,359,masked,24,31,>950,774,6992.544508,6.226526983,0,0,0.000503283,1,47.3
102700,Waima Forest,Northland,457,291,965,474,302,339,203,772,439,263,masked,5 or less,masked,389,111,2998.716175,2.366961038,2,2.08768,0.00113521,1,34.7
102800,Riverview,Northland,1635,1180,1928,848,612,145,93,222,653,419,masked,5 or less,masked,682,136,4210.345945,7.221228038,0,0,0.0003495,1,50.6
102900,Waipoua Forest,Northland,608,431,1107,549,389,303,195,608,498,321,10,8,16,625,500,2157.291403,2.549645729,3,2.74725,0.000829818,1,50.1
235100,Kawiu North,MidCentral,1273,986,1574,809,626,125,84,205,610,410,21,11,26,808,423,1978.454075,3.957158931,0,0,0.000175556,4,48.2
229300,Milson South,MidCentral,2014,1379,2471,815,558,284,165,440,645,375,65,38,86,756,442,2612.986715,5.227072401,0,0,0.000203436,2,33.9
229800,Palmerston North Hospital,MidCentral,1879,1375,2146,876,641,150,92,236,636,390,39,27,54,722,500,1090.228013,2.180911131,0,0,0.00020329,2,37.2
228300,Kimbolton West,MidCentral,1674,1257,2127,787,591,198,135,325,609,415,32,24,41,780,585,292.1787333,0.584467705,1,0.471476,0.000194052,2,38.8
235200,Levin Central,MidCentral,732,575,973,752,591,102,68,182,560,374,56,44,82,683,537,563.5065434,1.09720865,0,0,0.000179599,3,52.4
100500,Tangonge,Northland,651,450,947,687,475,332,225,534,622,421,masked,5 or less,masked,643,357,6293.050936,6.540568308,0,0,0.000569117,1,40.9
100900,Rangitihi,Northland,474,303,780,608,388,187,99,372,503,266,masked,5 or less,masked,615,308,5073.823712,3.803878054,0,0,0.000577177,1,42.9
101000,Oruru-Parapara,Northland,445,317,802,555,395,139,84,306,454,275,5 or less,5 or less,masked,385,231,2600.314532,2.41312344,0,0,0.000302818,1,46.7
101100,Taumarumaru,Northland,1605,1217,2174,738,560,331,205,554,597,370,28,18,37,757,486,5539.548968,5.172605213,1,0.460193,0.000292234,1,54.3
103600,Pakaraka,Northland,382,258,535,714,482,88,61,140,629,436,5 or less,5 or less,masked,>950,<50,5930.659571,4.446655945,0,0,0.000615396,1,41.1
103800,Russell,Northland,633,553,752,842,735,108,80,138,783,580,8,8,9,889,889,15857.44405,17.19235405,0,0,0.000190203,3,58.9
104000,Mataraua Forest,Northland,250,147,451,554,326,164,99,333,492,297,5 or less,5 or less,masked,400,100,16075.77981,16.01227964,0,0,0.000460231,1,35.3
104100,Matawaia-Taumarere,Northland,711,456,1216,585,375,401,235,779,515,302,8,6,19,421,316,8021.415842,7.901220641,0,0,0.000455935,1,40.9
104200,Russell Peninsula,Northland,447,388,590,758,658,36,30,68,529,441,5 or less,5 or less,masked,>950,667,10568.88453,11.14058763,0,0,0.000318488,1,60
104300,Opua (Far North District),Northland,908,709,1148,791,618,98,64,179,547,358,5 or less,5 or less,masked,308,231,5929.650464,5.76278747,0,0,0.000372001,1,56.1
104400,Russell Forest-Rawhiti,Northland,410,296,614,668,482,227,148,381,596,388,5 or less,5 or less,masked,250,250,26767.61547,24.7218805,0,0,0.000159104,4,47.9
105400,Maungatapere,Northland,2313,1713,3003,770,570,287,179,417,688,429,11,9,20,550,450,10440.0393,8.347702681,0,0,0.000270295,1,44.7
105600,Matapouri-Tutukaka,Northland,1258,977,1585,794,616,139,87,211,659,412,17,7,19,895,368,26384.98365,24.34388062,0,0,0.000185077,3,50.3
105700,Kiripaka,Northland,647,502,872,742,576,111,81,184,603,440,masked,5 or less,masked,636,455,7747.162606,7.905076825,0,0,0.000244959,1,44.6
118700,Browns Bay South East,Waitemata,2267,1630,2484,913,656,64,44,79,810,557,21,14,28,750,500,1721.487916,3.442627604,0,0,0.000183664,3,39.1
118900,Greenhithe West,Waitemata,2841,2178,3154,901,691,77,57,110,700,518,34,23,40,850,575,306.4659467,0.612854739,1,0.316156,0.00018896,3,40.3
121200,Sunnynook South,Waitemata,1952,1408,2108,926,668,77,49,114,675,430,70,40,80,875,500,745.4463848,1.490738631,1,0.474158,0.00019783,2,35.3
163600,Papakura Massey Park,Counties Manukau,1625,1087,2144,758,507,389,226,674,577,335,380,241,516,736,467,620.0817625,1.2401304,0,0,0.000177004,4,29.2
106000,Kamo Central,Northland,1033,780,1360,760,574,247,171,392,630,436,22,12,31,710,387,371.0563027,0.741942741,1,0.729927,0.000272038,1,36.5
106700,Abbey Caves-Glenbervie,Northland,934,763,1169,799,653,86,62,143,601,434,13,12,16,812,750,4452.923346,6.229355998,0,0,0.000248809,1,46.9
106800,Mairtown,Northland,1726,1355,2160,799,627,335,232,515,650,450,32,21,57,561,368,577.3903866,1.154522587,0,0,0.000271042,1,46.7
121300,Sunnynook North,Waitemata,2205,1579,2341,942,674,75,52,93,806,559,36,28,43,837,651,526.9250853,1.053741813,1,0.425351,0.000195532,2,35.4
115100,Stanmore Bay East,Waitemata,1924,1271,2323,828,547,155,84,212,731,396,25,17,35,714,486,1852.92123,3.705467621,0,0,0.000115861,5,37.5
115500,Coatesville,Waitemata,1700,1197,1994,853,600,51,40,70,729,571,23,13,34,676,382,8283.814212,6.784691794,0,0,0.00018463,3,42.7
100100,North Cape,Northland,1099,900,1521,723,592,577,470,815,708,577,14,11,20,700,550,5523.374216,4.498130989,3,1.98151,0.00107924,1,47.2
100200,Rangaunu Harbour,Northland,1215,830,1900,639,437,585,371,990,591,375,16,15,37,432,405,10102.13841,9.067432637,0,0,0.000553646,1,38.2
100400,Karikari Peninsula,Northland,854,654,1318,648,496,251,172,510,492,337,15,14,25,600,560,23354.90086,19.56102309,0,0,0.00024259,1,52.2
107000,Woodhill-Vinetown,Northland,1869,1407,2481,753,567,408,268,721,566,372,57,43,83,687,518,777.5521107,1.554752807,0,0,0.000275112,1,35.6
107400,Tarewa,Northland,877,593,1510,581,393,407,253,850,479,298,21,10,38,553,263,43.08516171,0.049606916,2,1.32363,0.000275354,1,30.5
107600,Ngunguru,Northland,825,660,1033,799,639,107,69,155,690,445,5 or less,5 or less,masked,500,500,20957.75108,19.25555598,0,0,0.000201667,2,45.8
107700,Otaika-Portland,Northland,816,647,1143,714,566,162,127,282,574,450,masked,5 or less,masked,529,294,5597.27929,4.725466351,0,0,0.000268239,1,41.7
107800,Oakleigh-Mangapai,Northland,1502,1104,1950,770,566,146,101,232,629,435,9,7,14,643,500,17664.48134,14.64745309,0,0,0.000241445,1,44
108000,Pataua,Northland,1049,767,1451,723,529,97,48,180,539,267,9,6,15,600,400,24296.67709,25.37035098,0,0,0.000150487,4,45.1
108100,Onerahi Park,Northland,1119,884,1388,806,637,165,120,246,671,488,18,11,36,500,306,939.6557173,1.878914354,0,0,0.000232993,1,43.2
108500,Parua Bay,Northland,1857,1507,2208,841,683,189,130,260,727,500,21,14,25,840,560,9776.334336,11.6263659,0,0,0.000201943,2,50.5
108600,Bream Bay,Northland,1356,1004,1828,742,549,205,139,343,598,405,16,11,25,640,440,6221.403314,6.419717188,0,0,0.000239787,1,46
108900,Bream Head,Northland,1005,788,1211,830,651,57,42,92,620,457,5 or less,5 or less,masked,625,250,21817.73966,25.18450593,0,0,0.000159056,4,52.4
109001,Waipu,Northland,2098,1668,2684,782,621,174,112,272,640,412,15,8,36,417,222,13312.76364,14.98645289,0,0,0.000213843,2,54.2
109100,Kaipara Coastal,Northland,1984,1255,3134,633,400,430,252,817,526,308,15,9,44,341,205,6487.781401,5.931327007,0,0,0.000160175,4,44.8
109200,Maungaru,Northland,1027,615,1503,683,409,160,94,250,640,376,16,9,22,727,409,8360.585217,10.38055074,0,0,9.00E-05,5,44.6
109700,Kaiwaka,Northland,1239,868,1962,631,442,203,133,421,482,316,21,10,26,808,385,18304.33479,14.73693396,0,0,0.000135283,5,43.8
111100,Warkworth West,Waitemata,1867,1394,2186,854,638,103,58,151,682,384,84,60,97,866,619,1012.318157,2.024378737,0,0,9.89E-05,5,47.5
111200,Puhoi Valley,Waitemata,2653,1767,3258,814,542,119,77,182,654,423,masked,24,51,>950,471,9655.774866,8.329212936,0,0,0.000130013,5,44.3
111400,Sandspit,Waitemata,750,576,902,831,639,21,12,25,840,480,masked,9,13,>950,692,5074.408714,6.974047098,0,0,8.09E-05,5,54.1
111500,Tawharanui Peninsula,Waitemata,1652,1258,1857,890,677,56,43,77,727,558,masked,25,31,>950,806,16103.79954,15.35349174,0,0,5.12E-05,5,54.7
111600,Te Kuru,Waitemata,1707,1074,2024,843,531,112,74,142,789,521,masked,5 or less,masked,600,160,11174.53796,8.379334717,0,0,0.000129798,5,39.4
111700,Snells Beach,Waitemata,2513,1895,3086,814,614,163,109,228,715,478,70,45,101,693,446,1337.510545,2.67474022,1,0.324359,6.95E-05,5,47.6
112600,Waikoukou Valley,Waitemata,1181,764,1425,829,536,61,40,81,753,494,14,9,22,636,409,6049.83057,5.315806176,0,0,0.000159828,4,43.1
112800,Hatfields Beach,Waitemata,1147,803,1329,863,604,77,56,99,778,566,16,8,21,762,381,2681.395128,2.624887306,0,0,0.000161087,4,40.5
113000,Orewa Central,Waitemata,2600,2051,2950,881,695,121,88,147,823,599,49,34,69,710,493,496.1866802,0.992256656,4,1.35272,0.000161505,4,57.5
113200,Waipatukahu,Waitemata,928,599,1143,812,524,115,69,154,747,448,12,6,25,480,240,2782.545356,3.083860432,0,0,0.00015924,4,40.3
114400,Vipond,Waitemata,2102,1503,2443,860,615,134,82,176,761,466,34,24,42,810,571,4515.115463,9.029287426,0,0,0.000138421,5,40.6
114700,Kumeu Rural West,Waitemata,1219,845,1474,827,573,74,49,107,692,458,46,36,65,708,554,3280.158679,3.431828479,0,0,0.000175961,4,43.2
114800,Okura Bush,Waitemata,1015,700,1197,848,585,42,23,66,636,348,masked,8,19,>950,421,4613.542528,6.032373262,0,0,0.000178658,4,39.4
115600,Dairy Flat South,Waitemata,1222,913,1425,858,641,39,28,61,639,459,masked,5 or less,masked,636,182,6837.970861,6.341422603,0,0,0.000184562,3,42.4
116000,Army Bay,Waitemata,1129,823,1326,851,621,44,33,62,710,532,34,30,38,895,789,5370.604206,9.502554258,0,0,4.62E-05,5,43.4
116100,Kumeu Rural East,Waitemata,1797,1240,2178,825,569,123,77,170,724,453,65,46,84,774,548,1563.713928,1.791549998,0,0,0.000185707,3,40
116300,Paremoremo West,Waitemata,674,468,801,841,584,24,17,31,774,548,13,7,14,929,500,7990.596518,7.777993935,0,0,0.000183418,3,45.3
116400,Taupaki,Waitemata,1239,834,1469,843,568,75,49,86,872,570,22,13,30,733,433,6200.266069,5.594676806,0,0,0.000179298,4,42.4
116600,Paremoremo East,Waitemata,1545,1047,1813,852,577,99,69,126,786,548,26,22,39,667,564,7158.33513,8.218544709,0,0,0.000180247,3,39.7
116800,Awaruku,Waitemata,3341,2430,3739,894,650,101,71,123,821,577,49,39,54,907,722,1993.957937,3.552070547,0,0,0.000183409,3,38
117000,Whenuapai,Waitemata,3952,2832,4437,891,638,291,191,405,719,472,161,116,206,782,563,4065.01035,5.626408689,0,0,0.000191085,3,35.4
117100,Waitakere Ranges North,Waitemata,867,577,1069,811,540,60,39,80,750,488,20,17,28,714,607,11020.25425,14.38159427,0,0,0.000146407,5,40.9
118200,Browns Bay South West,Waitemata,3187,2282,3593,887,635,90,59,127,709,465,26,13,33,788,394,2038.175008,4.075930125,0,0,0.000190466,3,37.2
117300,Albany Central,Waitemata,928,595,1009,920,590,67,39,99,677,394,20,13,25,800,520,747.7578381,1.495344652,2,1.97239,0.000196807,2,32.3
117900,Waiake,Waitemata,2938,2071,3289,893,630,87,57,122,713,467,37,20,52,712,385,1535.141687,3.069978509,0,0,0.000181631,3,39
231400,Milverton,MidCentral,1445,989,1586,911,624,112,68,176,636,386,38,25,50,760,500,649.474881,1.299221878,0,0,0.000205695,2,26.5
119200,Hobsonville,Waitemata,1128,856,1271,887,673,49,34,58,845,586,45,31,59,763,525,644.3590769,1.129380749,1,0.786782,0.000193447,3,37
120200,Hobsonville Point,Waitemata,6582,5002,6954,947,719,199,160,231,861,693,136,94,149,913,631,380.0805165,0.749161578,2,0.289771,0.000186634,3,34.9
120400,Unsworth Heights East,Waitemata,2887,2139,3199,902,669,127,86,164,774,524,93,58,108,861,537,1238.973477,1.998348456,0,0,0.000201958,2,36.2
120600,Massey Central,Waitemata,2148,1464,2676,803,547,304,175,482,631,363,508,324,666,763,486,988.406632,1.976521902,1,0.372995,0.000187846,3,30.9
120800,Mairangi Bay South,Waitemata,2264,1713,2473,915,693,70,47,81,864,580,27,15,30,900,500,1000.241359,2.000285263,0,0,0.000189682,3,42
122600,Forrest Hill North,Waitemata,1875,1387,1973,950,703,50,39,62,806,629,masked,16,23,>950,696,829.8071421,1.659445835,0,0,0.000197422,2,36.7
123000,Ranui North,Waitemata,2501,1696,3209,779,529,415,230,677,613,340,760,515,990,768,520,308.6071187,0.617122401,1,0.310366,0.000176555,4,29.7
124000,Glenfield Central,Waitemata,3191,2329,3368,947,692,145,96,171,848,561,76,54,93,817,581,1091.026139,2.181818406,1,0.296121,0.000195278,2,35.1
124600,Glenfield East,Waitemata,1774,1292,1872,948,690,78,54,105,743,514,62,34,73,849,466,1258.525033,2.516781769,0,0,0.00020187,2,35.3
124700,Henderson Valley,Waitemata,1036,715,1230,842,581,99,67,133,744,504,44,27,52,846,519,7540.848102,11.23890376,0,0,0.000148298,5,41.2
125000,Ranui South East,Waitemata,1999,1439,2387,837,603,185,113,291,636,388,356,249,440,809,566,1147.071272,2.293802245,0,0,0.000175212,4,32.9
125200,Birkenhead West,Waitemata,3669,2700,3993,919,676,170,114,190,895,600,70,52,81,864,642,1397.309354,2.79430964,0,0,0.000190386,3,37.4
126000,Summerland South,Waitemata,2456,1844,2767,888,666,135,84,178,758,472,210,162,276,761,587,3035.016922,6.069141615,0,0,0.000166058,4,37.1
126400,Te Atatu South-Edmonton,Waitemata,2633,1874,3129,841,599,293,179,424,691,422,449,294,583,770,504,961.2139727,1.922168256,0,0,0.0001931,3,34.5
133500,Grey Lynn East,Auckland,1632,1154,1754,930,658,118,88,133,887,662,107,81,130,823,623,203.7950394,0.407549247,1,0.572738,0.000212005,2,33
127200,Akoranga,Waitemata,1014,800,1119,906,715,73,40,98,745,408,58,35,83,699,422,945.558807,1.890928361,0,0,0.000206863,2,39.8
127600,Waiatarua,Waitemata,1630,1122,1860,876,603,152,107,181,840,591,50,42,67,746,627,6357.501763,8.585495509,0,0,0.000148987,4,43
127900,Henderson North East,Waitemata,1919,1412,2318,828,609,136,91,225,604,404,283,185,372,761,497,518.5385538,1.036935087,0,0,0.000186337,3,36.5
