Area,Age,Sex,Year at 30 June,Value,Flags
"Whanganui East-Williams Domain","Total people, age","Total people, sex","2021",2340,
"Bombay Hills","Total people, age","Total people, sex","2021",2160,
"South New Brighton","Total people, age","Total people, sex","2021",3280,
"Papatawa","Total people, age","Total people, sex","2021",1400,
"Washington","Total people, age","Total people, sex","2021",3080,
"Broomfield","Total people, age","Total people, sex","2021",2850,
"Hereworth","Total people, age","Total people, sex","2021",3030,
"Waitarere","Total people, age","Total people, sex","2021",2390,
"Hokianga North","Total people, age","Total people, sex","2021",950,
"Mangapapa South","Total people, age","Total people, sex","2021",2060,
"Gore Central","Total people, age","Total people, sex","2021",200,
"Kaipara Hills","Total people, age","Total people, sex","2021",2190,
"Roseneath-Sawyers Bay","Total people, age","Total people, sex","2021",1550,
"Pauatahanui","Total people, age","Total people, sex","2021",1020,
"Hei Hei","Total people, age","Total people, sex","2021",3600,
"Dunstan-Galloway","Total people, age","Total people, sex","2021",2010,
"Gladstone (Invercargill city)","Total people, age","Total people, sex","2021",2480,
"Frankton","Total people, age","Total people, sex","2021",3700,
"Takapuna West","Total people, age","Total people, sex","2021",5050,
"Turanga","Total people, age","Total people, sex","2021",3370,
"Hokowhitu South","Total people, age","Total people, sex","2021",2070,
"Castlecliff West","Total people, age","Total people, sex","2021",1810,
"Milton","Total people, age","Total people, sex","2021",2190,
"Pohangina-Apiti","Total people, age","Total people, sex","2021",1340,
"Tomoana Crossing","Total people, age","Total people, sex","2021",2710,
"Kelson","Total people, age","Total people, sex","2021",3010,
"Makomako","Total people, age","Total people, sex","2021",1520,
"Mataura","Total people, age","Total people, sex","2021",1740,
"Inlet Bluff Harbour","Total people, age","Total people, sex","2021",0,
"Northland (Wellington city)","Total people, age","Total people, sex","2021",3740,
"Akoranga","Total people, age","Total people, sex","2021",1260,
"West Otago","Total people, age","Total people, sex","2021",2390,
"Hamilton Central","Total people, age","Total people, sex","2021",920,
"Yelverton","Total people, age","Total people, sex","2021",2690,
"Jellie Park","Total people, age","Total people, sex","2021",3080,
"Botany East","Total people, age","Total people, sex","2021",2010,
"Lincoln West","Total people, age","Total people, sex","2021",3660,
"Watlington","Total people, age","Total people, sex","2021",2300,
"Mossburn","Total people, age","Total people, sex","2021",1390,
"Greerton North","Total people, age","Total people, sex","2021",3710,
"Hillsborough North (Auckland)","Total people, age","Total people, sex","2021",3950,
"Waipu","Total people, age","Total people, sex","2021",1260,
"Lake Hawea","Total people, age","Total people, sex","2021",1880,
"Saint Johns East","Total people, age","Total people, sex","2021",3150,
"Mount Eden North East","Total people, age","Total people, sex","2021",1320,
"Albany Central","Total people, age","Total people, sex","2021",840,
"Otahuhu South","Total people, age","Total people, sex","2021",4010,
"Bexley","Total people, age","Total people, sex","2021",2700,
"Maitlands","Total people, age","Total people, sex","2021",2280,
"Peacockes","Total people, age","Total people, sex","2021",390,
"Invercargill Central","Total people, age","Total people, sex","2021",1470,
"Bethlehem North","Total people, age","Total people, sex","2021",3540,
"Alexandra South","Total people, age","Total people, sex","2021",2870,
"Waiohewa","Total people, age","Total people, sex","2021",1110,
"Fairfield (Hamilton city)","Total people, age","Total people, sex","2021",4810,
"Anselmi Ridge","Total people, age","Total people, sex","2021",2630,
"Pakuranga Central","Total people, age","Total people, sex","2021",3670,
"Whitestone","Total people, age","Total people, sex","2021",680,
"Eastern Bays-Banks Peninsula","Total people, age","Total people, sex","2021",630,
"Tokanui","Total people, age","Total people, sex","2021",470,
"Kaponga-Mangatoki","Total people, age","Total people, sex","2021",1350,
"Ramanui","Total people, age","Total people, sex","2021",2120,
"Aniseed Valley","Total people, age","Total people, sex","2021",530,
"Piha","Total people, age","Total people, sex","2021",1130,
"Somerville","Total people, age","Total people, sex","2021",4620,
"Kingswell","Total people, age","Total people, sex","2021",2320,
"Mangawhai Heads","Total people, age","Total people, sex","2021",2670,
"Russley","Total people, age","Total people, sex","2021",1000,
"Orewa Central","Total people, age","Total people, sex","2021",3400,
"St Leonards","Total people, age","Total people, sex","2021",2940,
"Waikawa (Marlborough district)","Total people, age","Total people, sex","2021",1620,
"Bayswater","Total people, age","Total people, sex","2021",2860,
