dhb_of_residence,at_least_partially_vacc,population,ethnicity
Northland,5456,19480,All
Waitemata,34158,61881,All
Auckland,24621,40861,All
Counties Manukau,31815,65365,All
Waikato,17858,43635,All
Lakes,4061,11998,All
Bay of Plenty,8962,25345,All
Tairawhiti,2117,5647,All
Taranaki,4997,12748,All
Hawkes Bay,6650,17749,All
MidCentral,7570,17720,All
Whanganui,2130,6588,All
Capital and Coast,16747,27051,All
Hutt Valley,8533,14890,All
Wairarapa,1905,4294,All
Nelson Marlborough,6553,13612,All
West Coast,961,2733,All
Canterbury,25622,49808,All
South Canterbury,2375,5298,All
Southern,14083,28939,All
Overseas / Unknown,78,652,All
Total,227252,476294,All
Northland,1925,10478,Maori
Waitemata,3034,8520,Maori
Auckland,1748,4322,Maori
Counties Manukau,3719,13654,Maori
Waikato,3568,14353,Maori
Lakes,1270,5837,Maori
Bay of Plenty,1983,9663,Maori
Tairawhiti,1063,3586,Maori
Taranaki,1007,3891,Maori
Hawkes Bay,1618,7110,Maori
MidCentral,1556,5415,Maori
Whanganui,548,2707,Maori
Capital and Coast,2048,4676,Maori
Hutt Valley,1443,3674,Maori
Wairarapa,378,1304,Maori
Nelson Marlborough,794,2457,Maori
West Coast,161,548,Maori
Canterbury,2686,7502,Maori
South Canterbury,256,788,Maori
Southern,1689,4918,Maori
Overseas / Unknown,9,159,Maori
Total,32503,115562,Maori
Northland,166,582,Pacific
Waitemata,2542,6497,Pacific
Auckland,2849,7257,Pacific
Counties Manukau,8055,20488,Pacific
Waikato,767,1950,Pacific
Lakes,139,405,Pacific
Bay of Plenty,225,696,Pacific
Tairawhiti,65,128,Pacific
Taranaki,74,260,Pacific
Hawkes Bay,321,994,Pacific
MidCentral,322,932,Pacific
Whanganui,69,277,Pacific
Capital and Coast,1188,2822,Pacific
Hutt Valley,676,1521,Pacific
Wairarapa,60,141,Pacific
Nelson Marlborough,223,477,Pacific
West Coast,22,56,Pacific
Canterbury,954,2442,Pacific
South Canterbury,121,211,Pacific
Southern,517,1171,Pacific
Overseas / Unknown,10,91,Pacific
Total,19365,49398,Pacific
