spot,sa2
Bay of Islands,103900
Bay of Islands,103800
Bay of Islands,104200
Bay of Islands,104300
Bay of Islands,103700
Bay of Islands,103300
Bay of Islands,104100
Kerikeri,103000
Kerikeri,103300
Kerikeri,103100
Kerikeri,102800
Kerikeri,102600
Kerikeri,102500
Kerikeri,102200
Mangawhai,109900
Mangawhai,110100
Mangawhai,109800
Coromandel Town,116700
Coromandel Town,166500
Whitianga / Cooks Beach,167100
Whitianga / Cooks Beach,167000
Whitianga / Cooks Beach,167300
Whitianga / Cooks Beach,167400
Tairua / Pauanui,168100
Tairua / Pauanui,168200
Tairua / Pauanui,167900
Whangamata,168500
Whangamata,168400
Whangamata,169300
Waihi,190200
Waihi,190100
Waihi,190400
Waihi,169300
Waihi,169500
Waihi,169400
Waihi,169600
Whakatane,202700
Whakatane,203000
Whakatane,202900
Whakatane,202800
Whakatane,202600
Whakatane,202500
Whakatane,203100
Whakatane,202300
Whakatane,203200
Taupo,188300
Taupo,188400
Taupo,188500
Taupo,188600
Taupo,188800
Taupo,188900
Taupo,189000
Taupo,189100
Taupo,189200
Taupo,189300
Taupo,189400
Taupo,189600
Taupo,188700
Taupo,188000
Taupo,188200
Raglan,171600
Raglan,171802
