"New Zealand Schools Directory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A list of New Zealand schools including contact details, institution information, regional information and decile information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"^Email addresses are only listed for schools that agreed to have their email publicly released. Persons or organisations wishing to send email material to individuals or organisations whose email addresses appear in this directory must comply with the requirements of the Unsolicited Electronic Messages Act 2007.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Principal names are available for State and State Integrated Schools. Principal names for Private Schools are provided where available.  The most up to date information that we have available has been provided.  Recent changes may not be reflected.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roll data as at 1 September 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional Council: ---",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Territorial Authority: ---",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"School Type: ---",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"School Authority: ---",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"School Gender: ---",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Definition: ---",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School Number,School Name,Telephone,Fax,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address,Postal Address Suburb,Postal Address City,Postal Code,Urban Area,School Type,Definition,Authority,Donations,Gender of Students,Territorial Authority,Regional Council,Ministry of Education Local Office,Education Region,General Electorate,Māori Electorate,Area Unit,Ward,Community of Learning ID,Community of Learning Name,Latitude,Longitude,Isolation Index,Decile,Total School Roll,European / Pākehā,Māori,Pacific,Asian,MELAA,Other,International
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Te Kura o Te Kao,09 409 7813,,office@tekao.school.nz,Hemi Takawe,http://www.tekuraotekao.school.nz,6603 Far North Road,,Te Kao,6603 Far North Road RD 4,,Kaitaia,484,Rural Area,Composite,Designated Character School,State,Donations should not be requested unless for a school camp,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,North Cape,Te Hiku Ward,,,-34.654712,172.965948,4.18,2,42,1,41,0,0,0,0,0
2,Taipa Area School,09 406 0159,09 406 1096,office@taipa.school.nz,David Lowe,http://www.taipa.school.nz,578 State Highway 10,,Taipa,578 State Highway 10,,Taipa,420,Minor Urban Area,Composite,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Taipa Bay-Mangonui,Te Hiku Ward,99051,Te Kāhui Tai Kura o Te Hiku,-34.994709,173.464302,2.88,2,331,34,286,5,5,0,1,0
3,Kaitaia College,09 408 0190,09 408 0193,admin@kaitaiacollege.school.nz,Louise Anaru-Tangira,http://www.kaitaiacollege.school.nz/,53 Redan Road,,Kaitaia,P O Box 265,,Kaitaia,441,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kaitaia West,Te Hiku Ward,99051,Te Kāhui Tai Kura o Te Hiku,-35.121322,173.258700,2.74,2,829,164,636,14,11,1,3,0
4,Whangaroa College,09 405 0199,09 405 0288,office@whc.school.nz,Jack Anderson,http://www.whangaroacollege.school.nz,4157 State Highway 10,,Kaeo,P O Box 126,,Kaeo,448,Rural Area,Secondary (Year 7-15),Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kaeo,Bay of Islands-Whangaroa Ward,99197,Whaingaroa Kāhui Ako,-35.100861,173.786950,2.61,1,127,20,107,0,0,0,0,0
5,Kerikeri High School,09 407 8916,09 407 9323,enquiries@kerikerihigh.ac.nz,Elizabeth Forgie,http://www.kerikerihigh.ac.nz,48 Hone Heke Road,,Kerikeri,P O Box 92,,Kerikeri,245,Minor Urban Area,Secondary (Year 7-15),Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kerikeri,Bay of Islands-Whangaroa Ward,,,-35.228354,173.955389,2.41,6,1535,924,505,29,37,17,14,9
6,Broadwood Area School,09 409 5878,09 409 5877,admin@broadwood.school.nz,Danelle Tatana,http://broadwood.school.nz,1041 Broadwood Road,,Broadwood,P O Box 12,,Broadwood,462,Rural Area,Composite,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Hokianga North,Kaikohe-Hokianga Ward,99148,Hokianga Community of Learning,-35.261248,173.394990,2.87,1,94,6,86,1,1,0,0,0
7,Okaihau College,09 401 9030,09 401 9793,admin@okaihau-college.school.nz,Thomas Davison,http://www.okaihau-college.school.nz,58 Settlers Way,,Okaihau,58 Settlers Way RD 1,,Okaihau,475,Rural Area,Secondary (Year 7-15),Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Okaihau,Kaikohe-Hokianga Ward,99060,Te Arahura Community of Learning,-35.323759,173.765764,2.34,2,371,103,254,3,8,1,2,0
8,Bay of Islands College,09 404 1055,09 404 1048,accounts@boic.school.nz,Edith Painting-Davis,http://www.boic.school.nz,1-9 Derrick Road,,Kawakawa,P O Box 58,,Kawakawa,243,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kawakawa,Bay of Islands-Whangaroa Ward,99117,Peowhairangi Community of Learning,-35.379502,174.075901,1.80,2,383,42,328,6,5,0,2,0
9,Northland College,09 401 3200,09 401 2378,admin@northlandcollege.school.nz,Duane Allen,http://www.northlandcollege.school.nz,62 Mangakahia Road,,Kaikohe,P O Box 261,,Kaikohe,440,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kaikohe,Kaikohe-Hokianga Ward,99060,Te Arahura Community of Learning,-35.413889,173.809917,2.37,1,306,5,292,8,1,0,0,0
10,Te Kura Taumata o Panguru,09 409 5701,09 409 5703,office@panguru.school.nz,Mina Pomare-Peita,http://www.panguru.school.nz,2178 West Coast Road,,Panguru,2178 West Coast Road RD 2,,Kohukohu,492,Rural Area,Composite,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Hokianga North,Kaikohe-Hokianga Ward,,,-35.380527,173.383068,3.31,1,116,0,114,1,1,0,0,0
11,Opononi Area School,09 405 8500,09 405 8501,anitaw@opononi.school.nz,Pateriki Toi,,263 State Highway 12,Omapere,Kaikohe,Private Bag 759,,Kaikohe,440,Rural Area,Composite,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Omapere and Opononi,Kaikohe-Hokianga Ward,99148,Hokianga Community of Learning,-35.528555,173.390212,3.25,1,133,24,108,1,0,0,0,0
12,Tauraroa Area School,09 432 2643,09 432 2436,general@tauraroa.school.nz,Grant Burns,http://www.tauraroa.school.nz,398 Tauraroa Road,,Maungakaramea,P O Box 36,,Maungakaramea,146,Rural Area,Composite,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Wharekohe-Oakleigh,Bream Bay Ward,99183,Ngā Kura mo te ako o Whangarei Kāhui Ako Group 4,-35.873069,174.218169,0.98,6,514,357,133,2,8,5,9,0
13,Kamo High School,09 435 1688,09 435 0790,accounts@kamohigh.school.nz,Natasha Hemara,http://www.kamohigh.school.nz/,1 Wilkinson Avenue,Kamo,Whangarei,P O Box 4137,,Kamo,141,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Kamo East,Denby Ward,99182,Te Tai Raki Whangarei Kāhui Ako,-35.684394,174.302813,0.70,4,871,401,433,11,14,11,1,0
14,Tikipunga High School,09 437 3299,09 437 2522,sec@tikihigh.school.nz,Alec Solomon,https://tikipungahigh.school.nz/,194 Corks Road,Tikipunga,Whangarei,P O Box 7041,Tikipunga,Whangarei,144,Main Urban Area,Secondary (Year 7-15),Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Tikipunga West,Denby Ward,,,-35.683559,174.328317,0.70,2,314,46,261,3,2,0,2,0
