SA22020_V1_00,SA22020_V1_00_NAME_ASCII,SA22020_V1_00_NAME_ASCII,LANDWATER,LANDWATER_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM
100100,North Cape,North Cape,12,Mainland,829.081715,829.081715
100200,Rangaunu Harbour,Rangaunu Harbour,12,Mainland,273.936484,273.936484
100400,Karikari Peninsula,Karikari Peninsula,12,Mainland,174.188105,174.188105
100500,Tangonge,Tangonge,12,Mainland,177.098445,177.098445
100600,Ahipara,Ahipara,12,Mainland,4.529195,4.529195
100700,Kaitaia East,Kaitaia East,12,Mainland,5.266492,5.266492
100800,Kaitaia West,Kaitaia West,12,Mainland,3.21184,3.21184
100900,Rangitihi,Rangitihi,12,Mainland,84.633145,84.633145
101000,Oruru-Parapara,Oruru-Parapara,12,Mainland,103.354292,103.354292
101100,Taumarumaru,Taumarumaru,12,Mainland,10.234129,10.234129
101200,Herekino-Takahue,Herekino-Takahue,12,Mainland,303.671751,303.671751
101300,Peria,Peria,12,Mainland,199.606266,199.606266
101400,Taemaro-Oruaiti,Taemaro-Oruaiti,12,Mainland,156.748677,156.748677
101500,Whakapaku,Whakapaku,12,Mainland,200.883511,200.883511
101600,Hokianga North,Hokianga North,12,Mainland,345.937508,345.937508
101700,Kohukohu-Broadwood,Kohukohu-Broadwood,12,Mainland,209.180964,209.180964
101800,Whakarara,Whakarara,12,Mainland,169.49273,169.49273
101900,Kaeo,Kaeo,12,Mainland,255.559677,255.559677
102000,Omahuta Forest-Horeke,Omahuta Forest-Horeke,12,Mainland,463.551659,463.551659
102100,Hokianga South,Hokianga South,12,Mainland,126.04718,126.04718
102200,Lake Manuwai-Kapiro,Lake Manuwai-Kapiro,12,Mainland,59.0733,59.0733
102300,Ōkaihau,Okaihau,31,Other,147.590202,160.019638
102400,Rangitane-Purerua,Rangitane-Purerua,12,Mainland,123.144673,123.144673
102500,Waipapa,Waipapa,12,Mainland,9.160163,9.160163
102600,Puketotara,Puketotara,12,Mainland,55.263954,55.263954
102700,Waimā Forest,Waima Forest,12,Mainland,236.99517,236.99517
102800,Riverview,Riverview,12,Mainland,6.218926,6.218926
102900,Waipoua Forest,Waipoua Forest,12,Mainland,277.851042,277.851042
103000,Kerikeri Central,Kerikeri Central,12,Mainland,3.711736,3.711736
103100,Kerikeri South,Kerikeri South,12,Mainland,15.46466,15.46466
103200,Ōhaeawai-Waimate North,Ohaeawai-Waimate North,12,Mainland,87.375532,87.375532
103300,Puketona-Waitangi,Puketona-Waitangi,12,Mainland,156.403057,156.403057
103400,Ngapuhi,Ngapuhi,12,Mainland,175.385035,175.385035
103500,Kaikohe,Kaikohe,12,Mainland,5.675036,5.675036
103600,Pakaraka,Pakaraka,12,Mainland,72.388765,72.388765
103700,Haruru,Haruru,12,Mainland,1.527233,1.527233
103800,Russell,Russell,12,Mainland,3.279862,3.279862
103900,Paihia,Paihia,12,Mainland,2.2421,2.2421
104000,Mataraua Forest,Mataraua Forest,12,Mainland,272.927047,272.927047
104100,Matawaia-Taumarere,Matawaia-Taumarere,12,Mainland,410.639989,410.639989
104200,Russell Peninsula,Russell Peninsula,12,Mainland,26.187867,26.187867
104300,Opua (Far North District),Opua (Far North District),12,Mainland,5.607529,5.607529
104400,Russell Forest-Rawhiti,Russell Forest-Rawhiti,12,Mainland,191.366609,191.366609
104500,Moerewa,Moerewa,12,Mainland,1.875669,1.875669
104600,Kawakawa,Kawakawa,12,Mainland,1.731426,1.731426
104700,Maromaku,Maromaku,12,Mainland,238.337194,238.337194
104800,Mangakahia-Hūkerenui,Mangakahia-Hukerenui,12,Mainland,659.183442,659.183442
104900,Whangaruru,Whangaruru,12,Mainland,469.332359,469.332359
105100,Matarau,Matarau,12,Mainland,107.828188,107.828188
105200,Hikurangi,Hikurangi,12,Mainland,4.001391,4.001391
105300,Kauri,Kauri,12,Mainland,56.008903,56.008903
105400,Maungatapere,Maungatapere,12,Mainland,174.484735,174.484735
105500,Kamo West,Kamo West,12,Mainland,4.499381,4.499381
105600,Matapouri-Tutukaka,Matapouri-Tutukaka,12,Mainland,78.49176,78.49176
105700,Kiripaka,Kiripaka,12,Mainland,72.047754,72.047754
105800,Kamo East,Kamo East,12,Mainland,1.42718,1.42718
105900,Granfield Reserve,Granfield Reserve,12,Mainland,1.660921,1.660921
106000,Kamo Central,Kamo Central,12,Mainland,1.093544,1.093544
106100,Whau Valley,Whau Valley,12,Mainland,7.179697,7.179697
106200,Tikipunga North,Tikipunga North,12,Mainland,2.741009,2.741009
106300,Pukenui,Pukenui,12,Mainland,19.192402,19.192402
106400,Otangarei,Otangarei,12,Mainland,1.039521,1.039521
106500,Tikipunga South,Tikipunga South,12,Mainland,2.740399,2.740399
106600,Kensington (Whangarei District),Kensington (Whangarei District),12,Mainland,3.112627,3.112627
106700,Abbey Caves-Glenbervie,Abbey Caves-Glenbervie,12,Mainland,32.110458,32.110458
106800,Mairtown,Mairtown,12,Mainland,0.943444,0.943444
106900,Maunu-Horahora,Maunu-Horahora,12,Mainland,4.298768,4.298768
107000,Woodhill-Vinetown,Woodhill-Vinetown,12,Mainland,1.385146,1.385146
107100,Whangārei Central,Whangarei Central,12,Mainland,2.812524,2.812524
107200,Riverside,Riverside,12,Mainland,3.506734,3.506734
107300,Raumanga,Raumanga,12,Mainland,3.460304,3.460304
107400,Tarewa,Tarewa,12,Mainland,0.940685,0.940685
107500,Morningside (Whangarei District),Morningside (Whangarei District),12,Mainland,1.20226,1.20226
107600,Ngunguru,Ngunguru,12,Mainland,3.563653,3.563653
107700,Otaika-Portland,Otaika-Portland,12,Mainland,41.509226,41.509226
107800,Oakleigh-Mangapai,Oakleigh-Mangapai,12,Mainland,323.772943,323.772943
107900,Port-Limeburners,Port-Limeburners,12,Mainland,7.411607,7.411607
108000,Pataua,Pataua,12,Mainland,128.535867,128.535867
108100,Onerahi Park,Onerahi Park,12,Mainland,1.999474,1.999474
108200,Sherwood Rise,Sherwood Rise,12,Mainland,1.30646,1.30646
108300,Onerahi,Onerahi,12,Mainland,2.293518,2.293518
108500,Parua Bay,Parua Bay,12,Mainland,39.159142,39.159142
108600,Bream Bay,Bream Bay,12,Mainland,238.670233,238.670233
108700,Marsden Bay,Marsden Bay,12,Mainland,2.586761,2.586761
108800,Ruakākā,Ruakaka,12,Mainland,15.592442,15.592442
108900,Bream Head,Bream Head,12,Mainland,52.18042,52.18042
109000,Waipu,Waipu,12,Mainland,136.605503,136.605503
109100,Kaipara Coastal,Kaipara Coastal,12,Mainland,1248.220194,1248.220194
109200,Maungaru,Maungaru,12,Mainland,691.806658,691.806658
109300,Dargaville,Dargaville,12,Mainland,12.558866,12.558866
109400,Ruawai-Matakohe,Ruawai-Matakohe,12,Mainland,530.460287,530.460287
109500,Otamatea (Kaipara District),Otamatea (Kaipara District),12,Mainland,244.882051,244.882051
109600,Maungaturoto,Maungaturoto,12,Mainland,21.599677,21.599677
109700,Kaiwaka,Kaiwaka,12,Mainland,259.024308,259.024308
109800,Mangawhai Rural,Mangawhai Rural,12,Mainland,91.161006,91.161006
109900,Mangawhai Heads,Mangawhai Heads,12,Mainland,6.989087,6.989087
110100,Mangawhai,Mangawhai,12,Mainland,1.994088,1.994088
110200,Okahukura Peninsula,Okahukura Peninsula,12,Mainland,211.184058,211.184058
110400,Cape Rodney,Cape Rodney,12,Mainland,370.637204,370.637204
110500,Wellsford,Wellsford,12,Mainland,4.552901,4.552901
110700,South Head,South Head,12,Mainland,339.712917,339.712917
110800,Kaipara Hills,Kaipara Hills,12,Mainland,282.569003,282.569003
110900,Dome Valley-Matakana,Dome Valley-Matakana,12,Mainland,84.753414,84.753414
111100,Warkworth West,Warkworth West,12,Mainland,11.364791,11.364791
111200,Puhoi Valley,Puhoi Valley,12,Mainland,236.54207,236.54207
111300,Warkworth East,Warkworth East,12,Mainland,4.21946,4.21946
111400,Sandspit,Sandspit,12,Mainland,22.441503,22.441503
111500,Tawharanui Peninsula,Tawharanui Peninsula,12,Mainland,46.703765,46.703765
111600,Te Kuru,Te Kuru,12,Mainland,80.933566,80.933566
111700,Snells Beach,Snells Beach,12,Mainland,3.827841,3.827841
111800,Barrier Islands,Barrier Islands,11,Island,320.273091,320.273091
111900,Algies Bay-Scotts Landing,Algies Bay-Scotts Landing,12,Mainland,15.366468,15.366468
112100,Wainui-Waiwera,Wainui-Waiwera,12,Mainland,78.713198,78.713198
112200,Parakai,Parakai,12,Mainland,1.454876,1.454876
112300,Helensville Rural,Helensville Rural,12,Mainland,57.091531,57.091531
112400,Helensville,Helensville,12,Mainland,3.365697,3.365697
112500,Waitoki,Waitoki,12,Mainland,40.753221,40.753221
112600,Waikoukou Valley,Waikoukou Valley,12,Mainland,52.860668,52.860668
112700,Orewa North,Orewa North,12,Mainland,3.030902,3.030902
112800,Hatfields Beach,Hatfields Beach,12,Mainland,0.923252,0.923252
112900,Orewa South,Orewa South,12,Mainland,2.311573,2.311573
113000,Orewa Central,Orewa Central,12,Mainland,1.452895,1.452895
113100,Millwater North,Millwater North,12,Mainland,1.752583,1.752583
